,property,location,price,area,furnished status,additional details
387,2 BHK Apartment in Prestige Lakeside Habitat,"Varthur, Bangalore",94.5 L,1346,Ready to move Construction Status,5 - 6 years old2 Bathrooms11th of 32floor
388,2 BHK Apartment in Prestige Lakeside Habitat,"Varthur, Bangalore",84 L,1216,Ready to move Construction Status,5 - 6 years old2 Bathrooms11th of 32floor
389,2 BHK Apartment in Prestige Lakeside Habitat,"Varthur, Bangalore",92 L,1346,Ready to move Construction Status,5 - 6 years old2 Bathrooms11th of 32floor
390,2 BHK Apartment in Prestige Lakeside Habitat,"Varthur, Bangalore",83.5 L,1216,Ready to move Construction Status,5 - 6 years old2 Bathrooms11th of 32floor
391,3 BHK Apartment in Sandeep Square,"Bellandur, Bangalore",2.35 Cr,1823,Ready to move Construction Status,6 - 7 years oldNew
392,3 BHK Apartment in Sandeep Square,"Bellandur, Bangalore",2.34 Cr,1821,Ready to move Construction Status,6 - 7 years oldNew
393,4 BHK Villa in Deamante 2 Oakland Estates,"Sadahalli, Bangalore",3.1 Cr,3300,Under Construction Construction Status,Possession by Dec 20254 BathroomsNew
394,2 BHK Apartment in Corporate Suncity Gloria,"Sarjapur Road Post Railway Crossing, Bangalore",1.1 Cr,1054,Ready to move Construction Status,8 years old2 BathroomsGr of 15floor
395,3 BHK Independent House in Individual Builders,"Hebbal, Bangalore",2.25 Cr,3000,Ready to move Construction Status,7 years old3 BathroomsResale
396,Residential Plot,"Balagere, Bangalore",1.1 Cr,1200,Resale New/Resale,"20,000 booking amount"
