,property,location,price,area,furnished status,additional details
244,2 BHK Apartment in DSR Green Waters,"Varthur, Bangalore",93.5 L,1209,Under Construction Construction Status,Possession by Mar 2025New
245,3 BHK Apartment in DSR Green Waters,"Varthur, Bangalore",1.13 Cr,1468,Under Construction Construction Status,Possession by Mar 2025New
246,3 BHK Apartment in DSR Green Waters,"Varthur, Bangalore",98.14 L,1269,Under Construction Construction Status,Possession by Mar 2025New
247,2 BHK Apartment in DSR Green Waters,"Varthur, Bangalore",95.36 L,1233,Under Construction Construction Status,Possession by Mar 2025New
248,2 BHK Apartment in DSR Green Waters,"Varthur, Bangalore",95.28 L,1232,Under Construction Construction Status,Possession by Mar 20252 BathroomsNew
249,2 BHK Apartment in Godrej Godrej Park Retreat Phase 1,"Chikkanayakanahalli at Off Sarjapur, Bangalore",95.51 L,651,Under Construction Construction Status,Possession by Jan 2027New
250,1 BHK Apartment in Godrej Godrej Park Retreat Phase 1,"Chikkanayakanahalli at Off Sarjapur, Bangalore",54.57 L,372,Under Construction Construction Status,Possession by Jan 2027New
251,4 BHK Independent House in SBR Minara,"Sai Baba Ashram, Bangalore",2.49 Cr,2837,Under Construction Construction Status,Possession by Jul 2027New
252,3 BHK Apartment in SBR Minara,"Sai Baba Ashram, Bangalore",1.19 Cr,1357,Under Construction Construction Status,Possession by Jul 2027New
253,3 BHK Independent House in SBR Minara,"Sai Baba Ashram, Bangalore",1.77 Cr,2021,Under Construction Construction Status,Possession by Jul 2027New
254,2 BHK Apartment in SBR Minara,"Sai Baba Ashram, Bangalore",1.19 Cr,1357,Under Construction Construction Status,Possession by Jul 2027New
255,3 BHK Independent House in SBR Minara,"Sai Baba Ashram, Bangalore",1.78 Cr,2030,Under Construction Construction Status,Possession by Jul 2027New
256,3 BHK Independent House in SBR Minara,"Sai Baba Ashram, Bangalore",1.76 Cr,2001,Under Construction Construction Status,Possession by Jul 2027New
257,2 BHK Apartment in SBR Minara,"Sai Baba Ashram, Bangalore",80.96 L,920,Under Construction Construction Status,Possession by Jul 2027New
258,3 BHK Independent House in SBR Minara,"Sai Baba Ashram, Bangalore",1.76 Cr,2006,Under Construction Construction Status,Possession by Jul 2027New
259,5 BHK Independent House in SBR Minara,"Sai Baba Ashram, Bangalore",2.9 Cr,3300,Under Construction Construction Status,Possession by Jul 2027New
260,4 BHK Apartment in SBR Minara,"Sai Baba Ashram, Bangalore",2.88 Cr,3281,Under Construction Construction Status,Possession by Jul 2027New
261,3 BHK Apartment in SBR Minara,"Sai Baba Ashram, Bangalore",1.49 Cr,1701,Under Construction Construction Status,Possession by Jul 20273 BathroomsNew
262,3 BHK Apartment in SBR Minara,"Sai Baba Ashram, Bangalore",1.73 Cr,1969,Under Construction Construction Status,Possession by Jul 2027New
263,4 BHK Apartment in SBR Minara,"Sai Baba Ashram, Bangalore",2.33 Cr,2649,Under Construction Construction Status,Possession by Jul 2027New
264,3 BHK Apartment in SBR Minara,"Sai Baba Ashram, Bangalore",1.38 Cr,1578,Under Construction Construction Status,Possession by Jul 20273 BathroomsNew
265,5 BHK Independent House in SBR Minara,"Sai Baba Ashram, Bangalore",2.33 Cr,2649,Under Construction Construction Status,Possession by Jul 2027New
266,3 BHK Apartment in SBR Minara,"Sai Baba Ashram, Bangalore",1.13 Cr,1290,Under Construction Construction Status,Possession by Jul 2027New
267,4 BHK Apartment in SBR Minara,"Sai Baba Ashram, Bangalore",2.35 Cr,2676,Under Construction Construction Status,Possession by Jul 2027New
268,2 BHK Apartment in SBR Minara,"Sai Baba Ashram, Bangalore",83.16 L,945,Under Construction Construction Status,Possession by Jul 20272 BathroomsNew
269,2 BHK Apartment in Goyal Orchid Life,"Gunjur Palaya, Bangalore",91.99 L,900,Under Construction Construction Status,Possession by Feb 2030New
270,2 BHK Apartment in Goyal Orchid Life,"Gunjur Palaya, Bangalore",1.31 Cr,1250,Under Construction Construction Status,Possession by Feb 2030New
271,3 BHK Apartment in Goyal Orchid Life,"Gunjur Palaya, Bangalore",1.94 Cr,1450,Under Construction Construction Status,Possession by Feb 20303 BathroomsNew
272,3 BHK Apartment in Goyal Orchid Life,"Gunjur Palaya, Bangalore",1.84 Cr,1756,Under Construction Construction Status,Possession by Feb 20303 BathroomsNew
273,3 BHK Apartment in Goyal Orchid Life,"Gunjur Palaya, Bangalore",1.57 Cr,1496,Under Construction Construction Status,Possession by Feb 2030New
274,2 BHK Apartment in Goyal Orchid Life,"Gunjur Palaya, Bangalore",92 L,800,Under Construction Construction Status,Possession by Feb 2030New
