,property,location,price,area,furnished status,additional details
603,3 BHK Apartment in SB Temple Tree,"JP Nagar Phase 6, Bangalore",1.78 Cr,1770,Ready to move Construction Status,1 - 2 years old2 BathroomsNew
604,3 BHK Apartment in SB Temple Tree,"JP Nagar Phase 6, Bangalore",1.69 Cr,1675,Ready to move Construction Status,1 - 2 years old3 BathroomsNew
605,2 BHK Apartment in SB Temple Tree,"JP Nagar Phase 6, Bangalore",1.47 Cr,1455,Ready to move Construction Status,1 - 2 years old2 BathroomsNew
606,2 BHK Apartment in SB Temple Tree,"JP Nagar Phase 6, Bangalore",1.59 Cr,1575,Ready to move Construction Status,1 - 2 years old1 BathroomsNew
607,3 BHK Apartment in SB Temple Tree,"JP Nagar Phase 6, Bangalore",1.78 Cr,1765,Ready to move Construction Status,1 - 2 years old1 BathroomsNew
608,2 BHK Apartment in SB Temple Tree,"JP Nagar Phase 6, Bangalore",1.65 Cr,1635,Ready to move Construction Status,1 - 2 years old2 BathroomsNew
609,3 BHK Villa in Roja Soul Garden,"JP Nagar Phase 6, Bangalore",1.23 Cr,1887,Under Construction Construction Status,Possession by May 2025New
610,3 BHK Apartment in United Sai Green Woods,"JP Nagar Phase 6, Bangalore",1.1 Cr,1380,Under Construction Construction Status,Possession by Feb 2025New
611,3 BHK Apartment in United Sai Green Woods,"JP Nagar Phase 6, Bangalore",1.05 Cr,1320,Under Construction Construction Status,Possession by Feb 2025New
612,2 BHK Apartment in Shree Adithya Pride,"JP Nagar Phase 6, Bangalore",71.1 L,1185,Under Construction Construction Status,Possession by Aug 2024New
613,3 BHK Apartment in Shree Adithya Pride,"JP Nagar Phase 6, Bangalore",83.58 L,1393,Under Construction Construction Status,Possession by Aug 2024New
614,3 BHK Apartment in Shree Adithya Pride,"JP Nagar Phase 6, Bangalore",81.6 L,1360,Under Construction Construction Status,Possession by Aug 2024New
615,2 BHK Apartment in Shree Adithya Pride,"JP Nagar Phase 6, Bangalore",66 L,1100,Under Construction Construction Status,Possession by Aug 2024New
616,3 BHK Apartment in Sowparnika Euphoria In The East,"JP Nagar Phase 6, Bangalore",70 L,1592,Under Construction Construction Status,Possession by Apr 20313 BathroomsResale
617,2 BHK Apartment in Renaissance Reserva,"JP Nagar Phase 6, Bangalore",1.21 Cr,1260,Ready to move Construction Status,0 - 1 year old2 BathroomsNew
618,2 BHK Apartment in Renaissance Reserva,"JP Nagar Phase 6, Bangalore",1.18 Cr,1230,Ready to move Construction Status,0 - 1 year oldNew
619,3 BHK Apartment in Abhigna Misty Woods,"Subramanyapura, Bangalore",2.26 Cr,2150,Ready to move Construction Status,1 year oldNew
